nro	fecha	tipo_operacion	sentido	referencia	origen_documento	cantidad_movimiento	delta_existencias	saldo_existencias_corrido	ubicacion_origen	ubicacion_destino	codigo_picking	motivo
25	2026-04-14 13:51:14	PICK_EXPEDICION	SALIDA	CEN/PICK/01091	S02311	6	-6	-419	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01091). Origen: S02311.
26	2026-04-14 17:36:23	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00063		18	-18	-437	CEN/Existencias	B4/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00063). Destino: B4/Existencias.
27	2026-04-15 12:50:36	PICK_EXPEDICION	SALIDA	CEN/PICK/01280	S02457	12	-12	-449	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01280). Origen: S02457.
28	2026-04-15 12:50:42	PICK_EXPEDICION	SALIDA	CEN/PICK/01259	S02428	12	-12	-461	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01259). Origen: S02428.
29	2026-04-15 21:30:10	PICK_EXPEDICION	SALIDA	CEN/PICK/01247	S02410	12	-12	-473	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01247). Origen: S02410.
30	2026-04-15 21:30:22	PICK_EXPEDICION	SALIDA	CEN/PICK/01225	S02396	12	-12	-485	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01225). Origen: S02396.
31	2026-04-16 12:27:01	PICK_EXPEDICION	SALIDA	CEN/PICK/01475	S02542	3	-3	-488	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01475). Origen: S02542.
32	2026-04-16 12:27:01	PICK_EXPEDICION	SALIDA	CEN/PICK/01471	S02536	12	-12	-500	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01471). Origen: S02536.
33	2026-04-16 22:26:22	PICK_EXPEDICION	SALIDA	CEN/PICK/01398	S02492	12	-12	-512	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01398). Origen: S02492.
34	2026-04-16 22:26:22	PICK_EXPEDICION	SALIDA	CEN/PICK/01383	S02490	1	-1	-513	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01383). Origen: S02490.
35	2026-04-17 13:11:30	PICK_EXPEDICION	SALIDA	CEN/PICK/01645	S02588	3	-3	-516	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01645). Origen: S02588.
36	2026-04-17 13:11:30	PICK_EXPEDICION	SALIDA	CEN/PICK/01567	S02578	24	-24	-540	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01567). Origen: S02578.
37	2026-04-17 15:10:16	RECEPCION_STOR	ENTRADA	CEN/STOR/00101	P00001	1080	1080	540	CEN/Entrada	CEN/Existencias	internal	Recepción en Central (almacenaje): mercadería ingresa a Existencias (CEN/STOR/00101). Origen: P00001.
38	2026-04-17 18:37:41	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00100		180	-180	360	CEN/Existencias	B2/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00100). Destino: B2/Existencias.
39	2026-04-18 01:33:51	PICK_EXPEDICION	SALIDA	CEN/PICK/01700	S02623	12	-12	348	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01700). Origen: S02623.
40	2026-04-20 16:31:52	PICK_EXPEDICION	SALIDA	CEN/PICK/00309	S01452	12	-12	336	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00309). Origen: S01452.
41	2026-04-20 17:14:07	PICK_EXPEDICION	SALIDA	CEN/PICK/01774	S02655	12	-12	324	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01774). Origen: S02655.
42	2026-04-20 17:52:02	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00092		120	-120	204	CEN/Existencias	B3/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00092). Destino: B3/Existencias.
43	2026-04-21 13:10:08	PICK_EXPEDICION	SALIDA	CEN/PICK/01886	S02695	12	-12	192	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01886). Origen: S02695.
44	2026-04-21 13:10:15	PICK_EXPEDICION	SALIDA	CEN/PICK/01880	S02666	6	-6	186	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01880). Origen: S02666.
45	2026-04-21 13:10:15	PICK_EXPEDICION	SALIDA	CEN/PICK/01888	S02749	4	-4	182	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01888). Origen: S02749.
46	2026-04-21 13:10:15	PICK_EXPEDICION	SALIDA	CEN/PICK/01892	S02730	6	-6	176	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/01892). Origen: S02730.
47	2026-04-21 18:26:34	TRASLADO_SUCURSAL	SALIDA	CEN/INT/00103		120	-120	56	CEN/Existencias	B1/Existencias	internal	Traslado interno Central → sucursal (CEN/INT/00103). Destino: B1/Existencias.
48	2026-04-21 19:09:05	PICK_EXPEDICION	SALIDA	CEN/PICK/00298	OP/01376	167	-167	-111	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00298). Origen: OP/01376.
49	2026-04-21 19:09:05	PICK_EXPEDICION	SALIDA	CEN/PICK/00298	OP/00482	73	-73	-184	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00298). Origen: OP/00482.
50	2026-04-21 19:09:05	PICK_EXPEDICION	SALIDA	CEN/PICK/00298	OP/01376	184	-184	-368	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00298). Origen: OP/01376.
51	2026-04-21 19:09:05	PICK_EXPEDICION	SALIDA	CEN/PICK/00298	OP/01078	149	-149	-517	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/00298). Origen: OP/01078.
52	2026-04-22 11:56:11	PICK_EXPEDICION	SALIDA	CEN/PICK/02042	S02770	12	-12	-529	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02042). Origen: S02770.
53	2026-04-22 19:24:34	PICK_EXPEDICION	SALIDA	CEN/PICK/02041	S02826	6	-6	-535	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02041). Origen: S02826.
54	2026-04-23 12:59:11	PICK_EXPEDICION	SALIDA	CEN/PICK/02177	S02886	6	-6	-541	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02177). Origen: S02886.
55	2026-04-23 12:59:11	PICK_EXPEDICION	SALIDA	CEN/PICK/02124	S02848	12	-12	-553	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02124). Origen: S02848.
56	2026-04-23 12:59:11	PICK_EXPEDICION	SALIDA	CEN/PICK/02133	S02865	12	-12	-565	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02133). Origen: S02865.
57	2026-04-24 21:11:25	PICK_EXPEDICION	SALIDA	CEN/PICK/02094	S02745	12	-12	-577	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02094). Origen: S02745.
58	2026-04-24 21:11:25	PICK_EXPEDICION	SALIDA	CEN/PICK/02103	S02785	12	-12	-589	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02103). Origen: S02785.
59	2026-04-24 21:11:25	PICK_EXPEDICION	SALIDA	CEN/PICK/02110	S02829	6	-6	-595	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02110). Origen: S02829.
60	2026-04-28 12:36:48	PICK_EXPEDICION	SALIDA	CEN/PICK/02456	S03090	5	-5	-600	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02456). Origen: S03090.
61	2026-04-28 12:36:48	PICK_EXPEDICION	SALIDA	CEN/PICK/02459	S03100	12	-12	-612	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02459). Origen: S03100.
62	2026-04-28 12:36:48	PICK_EXPEDICION	SALIDA	CEN/PICK/02465	S03117	5	-5	-617	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02465). Origen: S03117.
63	2026-04-29 12:01:44	PICK_EXPEDICION	SALIDA	CEN/PICK/02598	S03209	12	-12	-629	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02598). Origen: S03209.
64	2026-04-29 21:15:18	PICK_EXPEDICION	SALIDA	CEN/PICK/02406	S03045	12	-12	-641	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/02406). Origen: S03045.
